algorithm,quantum_resistant,key_size_bytes,key_exchange_time_ms,throughput_mbps,encryption_overhead_%,avg_cpu_usage_%,memory_usage_mb
RSA-2048,False,256,11.27048,11.730205278592376,5.000000000000004,100.0,54.0
RSA-3072,False,384,13.364053333333334,11.450381679389311,5.000000000000004,100.0,56.0
ECC-P256,False,32,10.210893333333333,11.875309252845124,5.000000000000004,25.22259432090667,50.5
Kyber-512,True,800,10.089,10.866612333605,14.999999999999991,7.648031963978526,74.21875
Kyber-768,True,1184,10.13222,10.865136493277198,14.999999999999991,8.804902707238316,85.84375
Kyber-1024,True,1568,10.179606666666666,10.863169329651926,14.999999999999991,10.932780561014825,97.46875
Dilithium-2,True,1312,10.15496,10.863661053775122,14.999999999999991,10.241060453538468,89.71875
Dilithium-3,True,1952,10.23116,10.860711376595168,14.999999999999991,12.598197310145709,109.09375
